GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LicenseScout Core,org.aposin.licensescout.archive,ArchiveIdentifierVersion,0,52,0,6,0,10,0,7,0,4
LicenseScout Core,org.aposin.licensescout.archive,ArchiveIdentifierMessageDigest,2,64,1,5,1,17,1,7,0,5
LicenseScout Core,org.aposin.licensescout.archive,ArchiveIdentifier,2,71,1,9,0,15,1,10,0,6
LicenseScout Core,org.aposin.licensescout.archive,ArchiveType,0,24,0,0,0,3,0,1,0,1
LicenseScout Core,org.aposin.licensescout.archive,ArchiveIdentifierPattern,6,77,1,9,2,16,3,7,2,3
LicenseScout Core,org.aposin.licensescout.archive,PatternType,0,24,0,0,0,3,0,1,0,1
LicenseScout Core,org.aposin.licensescout.archive,Archive,124,135,8,2,32,49,10,30,6,29
LicenseScout Core,org.aposin.licensescout.archive,NameMatchingType,0,24,0,0,0,3,0,1,0,1
LicenseScout Core,org.aposin.licensescout.exporter,OutputResult,0,45,0,0,0,20,0,13,0,13
LicenseScout Core,org.aposin.licensescout.exporter,GeneralStatistics,0,17,0,0,0,7,0,5,0,5
LicenseScout Core,org.aposin.licensescout.exporter,LegalStatusStatistics,0,4,0,0,0,2,0,1,0,1
LicenseScout Core,org.aposin.licensescout.exporter,ExporterUtil,0,22,1,3,0,6,1,4,0,3
LicenseScout Core,org.aposin.licensescout.exporter,CsvExporter.new Comparator() {...},6,3,0,0,1,1,1,1,1,1
LicenseScout Core,org.aposin.licensescout.exporter,TxtExporter,16,197,7,13,2,50,5,16,0,11
LicenseScout Core,org.aposin.licensescout.exporter,HtmlExporter,0,16,0,0,0,5,0,5,0,5
LicenseScout Core,org.aposin.licensescout.exporter,TxtExporter.new Comparator() {...},6,6,0,0,1,1,1,1,1,1
LicenseScout Core,org.aposin.licensescout.exporter,AbstractVelocityExporter,0,193,1,5,0,48,1,9,0,7
LicenseScout Core,org.aposin.licensescout.exporter,CsvExporter,0,294,2,12,0,72,2,13,0,8
LicenseScout Core,org.aposin.licensescout.exporter,DetectionStatusStatistics,0,4,0,0,0,2,0,1,0,1
LicenseScout Core,org.aposin.licensescout.exporter,ReportConfiguration,0,59,0,0,0,25,0,17,0,17
LicenseScout Core,org.aposin.licensescout.finder,JavaJarFinder.JarFinderHandler,6,31,1,1,2,8,3,5,2,5
LicenseScout Core,org.aposin.licensescout.finder,JavaJarFinder.ScanMode,24,0,0,0,3,0,1,0,1,0
LicenseScout Core,org.aposin.licensescout.finder,AbstractFinder,0,154,1,13,0,39,1,16,0,10
LicenseScout Core,org.aposin.licensescout.finder,JavaJarFinder.FileSystemEntryContainer,0,15,0,0,0,5,0,3,0,3
LicenseScout Core,org.aposin.licensescout.finder,JavaJarFinder.AbstractFinderHandler,0,17,0,0,0,6,0,3,0,3
