# see also https://spdx.org/licenses/
(MIT OR Apache-2.0), MIT, Apache-2.0
(BSD-2-Clause OR MIT OR Apache-2.0), BSD-2-Clause, MIT, Apache-2.0
Apache 2, Apache-2.0
Apache 2.0, Apache-2.0
Apache License 2.0, Apache-2.0
Apache License Version 2.0, Apache-2.0
Apache version 2.0, Apache-2.0
BSD-3, BSD-3-Clause
BSD-3-Clause OR MIT, BSD-3-Clause, MIT
LGPL-2.0-only, LGPL-2.0
LGPL-2.0-or-later, LGPL-2.0, LGPL-2.1, LGPL-3.0
LGPL-2.0+, LGPL-2.0, LGPL-2.1, LGPL-3.0
LGPL-2.1-only, LGPL-2.1
LGPL-2.1-or-later, LGPL-2.1, LGPL-3.0
LGPL-2.1+, LGPL-2.1, LGPL-3.0
LGPL-3.0-only, LGPL-3.0
LGPL-3.0-or-later, LGPL-3.0
LGPL-3.0+, LGPL-3.0
Public Domain, PublicDomain
